Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1931,0.7,-1.4,0.6,0.9,1.4,2.0,1.0,0.1,0.4,-1.3,-0.5,0.4
1932,0.2,-0.3,-0.2,-0.1,0.4,-0.4,-0.5,-0.7,-0.9,-0.4,-0.5,0.2
1933,-1.1,0.4,-0.1,0.4,0.7,-0.3,0.4,-0.0,0.1,0.4,0.6,0.7
1934,0.7,-0.0,0.1,0.7,-0.6,1.2,0.3,-2.2,-0.7,0.4,1.2,-0.3
1935,0.7,-0.4,1.2,0.4,-0.5,-0.1,0.0,0.2,0.6,0.7,0.3,-0.5
1936,-0.2,0.0,0.2,2.1,0.6,-0.1,0.5,-0.8,0.2,-0.0,-1.4,-0.0
1937,1.0,-0.5,0.7,0.3,0.1,0.4,-0.5,0.4,0.0,-0.2,-0.3,0.6
1938,0.8,0.3,-0.3,0.4,1.4,1.9,1.9,1.3,0.7,1.2,0.1,1.3
1939,1.7,0.7,1.2,1.0,0.0,-0.1,0.9,-0.0,-1.0,-1.4,-0.8,-0.9
1940,0.0,-0.4,-1.0,-0.7,-1.3,-1.9,-1.5,-1.8,-2.0,-1.8,-0.7,-3.0
1941,-0.9,-1.4,-1.0,-0.9,-0.5,-1.4,-2.1,-1.9,-0.9,-2.0,-1.0,-0.9
1942,-1.3,-0.3,-0.5,-0.4,0.6,0.9,-0.1,0.4,0.8,0.8,-0.5,1.3
1943,1.0,0.9,0.4,1.3,0.4,-0.7,0.3,0.8,0.5,0.9,0.3,-0.9
1944,-0.8,0.3,0.6,-0.4,0.0,-0.3,-0.9,0.4,0.2,-0.8,-0.7,0.3
1945,0.5,0.5,1.3,-0.5,0.1,0.9,0.4,1.2,0.8,0.2,-0.4,0.6
1946,-0.2,0.4,-0.1,-0.7,-1.0,-0.9,-1.0,-0.4,-1.6,-1.2,-0.2,-0.6
1947,-0.5,-0.4,1.2,-0.3,-1.2,0.4,1.0,0.8,1.1,-0.2,0.8,0.4
1948,-0.3,-0.3,-0.4,0.4,0.5,-0.4,0.1,-0.4,-0.8,0.6,0.4,-0.6
1949,-0.7,0.2,0.6,0.2,-0.5,-1.1,-0.1,-0.4,0.1,0.5,-0.7,0.7
1950,0.5,1.6,1.8,1.6,0.9,2.8,2.2,1.3,0.6,1.7,1.1,2.2
1951,1.7,0.8,-0.1,0.0,-0.5,0.6,-0.8,-0.0,-0.7,-0.8,-0.4,-0.4
1952,-0.9,-0.7,0.1,-0.7,0.7,0.8,0.4,-0.3,-0.4,0.2,-0.1,-1.4
1953,0.2,-0.6,-0.5,0.1,-3.0,-0.1,-0.1,-1.7,-1.3,-0.0,-0.3,-0.5
1954,0.6,-0.3,-0.0,0.7,0.6,-0.1,0.5,1.1,0.4,0.2,0.3,1.2
1955,-0.5,1.3,0.3,-0.1,1.4,1.7,2.0,1.5,1.3,1.5,1.4,0.8
1956,1.1,1.1,1.0,1.1,1.9,1.3,1.3,1.1,-0.0,1.8,0.1,0.9
1957,0.6,-0.2,-0.0,0.2,-1.1,-0.1,0.1,-0.9,-1.1,-0.1,-1.2,-0.4
1958,-1.6,-0.6,-0.1,0.2,-0.7,0.1,0.3,0.8,-0.4,-0.2,-0.5,-0.7
1959,-0.8,-1.3,0.9,0.4,0.4,-0.5,-0.5,-0.5,-0.0,0.4,1.0,0.7
1960,0.1,-0.2,0.6,0.8,0.6,-0.1,0.5,0.7,0.6,-0.1,0.6,0.6
1961,-0.2,0.5,-2.0,1.0,0.2,-0.2,0.3,0.1,0.0,-0.5,0.6,1.3
1962,1.7,0.5,-0.1,0.2,1.3,0.6,0.0,0.5,0.4,1.0,0.4,-0.0
1963,1.0,0.2,0.8,0.7,0.4,-0.9,-0.1,-0.2,-0.6,-1.3,-1.0,-1.3
1964,-0.4,-0.0,0.9,1.3,0.4,0.8,0.7,1.5,1.3,1.2,0.2,-0.4
1965,-0.4,0.1,0.3,-1.0,0.1,-1.2,-2.3,-1.1,-1.5,-1.1,-1.8,0.1
1966,-1.2,-0.4,-1.3,-0.5,-0.8,0.2,-0.1,0.4,-0.3,-0.2,-0.1,-0.5
1967,1.5,1.1,0.8,-0.1,-0.2,0.8,0.2,0.6,0.4,-0.0,-0.5,-0.6
1968,0.4,0.8,-0.2,-0.1,1.6,1.3,0.8,0.1,-0.3,-0.2,-0.4,0.1
1969,-1.3,-0.6,0.2,-0.7,-0.5,0.0,-0.7,-0.4,-1.1,-1.1,-0.1,0.3
1970,-1.0,-1.0,0.2,-0.3,0.3,1.1,-0.5,0.4,1.2,1.0,1.8,1.7
1971,0.3,1.4,1.9,2.1,1.0,0.4,0.2,1.5,1.5,1.7,0.6,0.1
1972,0.4,0.7,0.3,-0.4,-1.5,-1.1,-1.9,-0.8,-1.5,-1.1,-0.4,-1.3
1973,-0.3,-1.2,0.1,-0.1,0.4,1.3,0.7,1.3,1.3,0.9,3.0,1.6
1974,2.1,1.4,2.0,1.1,1.2,0.4,1.3,0.7,1.2,0.8,-0.2,-0.2
1975,-0.5,0.5,1.2,1.4,0.7,1.7,2.2,2.1,2.2,1.7,1.3,1.9
1976,1.2,1.1,1.3,0.2,0.3,0.1,-1.3,-1.2,-1.3,0.3,0.9,-0.4
1977,-0.4,0.7,-0.9,-0.7,-1.0,-1.7,-1.5,-1.2,-1.0,-1.3,-1.5,-1.2
1978,-0.3,-2.2,-0.5,-0.6,1.7,0.7,0.7,0.2,0.0,-0.6,-0.3,-0.2
1979,-0.4,0.6,-0.2,-0.4,0.5,0.7,-0.8,-0.5,0.1,-0.2,-0.5,-0.8
1980,0.3,0.1,-0.8,-1.0,-0.2,-0.4,-0.1,0.2,-0.6,-0.2,-0.4,-0.2
1981,0.3,-0.3,-1.6,-0.4,0.9,1.3,1.0,0.6,0.7,-0.5,0.2,0.4
1982,1.0,0.0,0.3,-0.2,-0.7,-1.9,-1.9,-2.3,-2.2,-2.0,-3.1,-2.2
1983,-3.0,-3.0,-2.7,-1.4,0.7,-0.2,-0.7,0.1,0.9,0.4,-0.1,-0.1
1984,0.2,0.5,-0.5,0.3,0.1,-0.8,0.3,0.3,0.1,-0.5,0.3,-0.2
1985,-0.3,0.6,-0.1,1.4,0.4,-0.9,-0.2,0.9,-0.0,-0.5,-0.2,0.1
1986,0.8,-1.0,0.1,0.2,-0.5,1.2,0.3,-0.7,-0.6,0.6,-1.4,-1.5
1987,-0.6,-1.1,-1.6,-2.1,-2.0,-1.9,-1.9,-1.4,-1.2,-0.5,-0.2,-0.5
1988,-0.1,-0.5,0.3,-0.0,1.1,-0.3,1.2,1.5,1.9,1.4,2.0,1.0
1989,1.3,0.8,0.7,2.0,1.6,0.8,1.0,-0.6,0.5,0.7,-0.3,-0.6
1990,-0.1,-1.6,-0.8,0.1,1.4,0.2,0.6,-0.5,-0.8,0.2,-0.6,-0.3
1991,0.5,0.0,-1.0,-1.0,-1.8,-0.5,-0.1,-0.7,-1.7,-1.3,-0.8,-1.8
1992,-2.5,-0.8,-2.3,-1.5,0.2,-1.2,-0.7,0.2,0.0,-1.7,-0.8,-0.6
1993,-0.8,-0.7,-0.8,-1.8,-0.7,-1.5,-1.1,-1.5,-0.8,-1.3,-0.0,0.1
1994,-0.1,0.0,-1.0,-1.9,-1.2,-1.0,-1.8,-1.7,-1.8,-1.4,-0.8,-1.3
1995,-0.4,-0.3,0.4,-1.3,-0.8,-0.1,0.5,0.1,0.3,-0.1,0.0,-0.6
1996,0.9,0.1,0.7,0.8,0.2,1.5,0.7,0.5,0.6,0.4,-0.1,0.6
1997,0.4,1.2,-0.8,-1.3,-2.1,-2.3,-0.9,-1.9,-1.5,-1.7,-1.6,-1.0
1998,-2.3,-1.7,-2.7,-2.1,0.2,1.1,1.5,1.0,1.0,1.1,1.1,1.3
1999,1.6,0.8,0.9,1.8,0.2,0.2,0.5,0.2,-0.1,0.9,1.2,1.2
2000,0.5,1.1,1.0,1.6,0.5,-0.5,-0.3,0.6,0.9,0.9,2.1,0.7
2001,0.9,1.0,0.7,0.1,-0.8,0.3,-0.3,-0.8,0.1,-0.2,0.6,-1.0
2002,0.3,0.7,-0.5,-0.2,-1.3,-0.5,-0.7,-1.4,-0.8,-0.7,-0.7,-1.2
2003,-0.2,-0.7,-0.6,-0.4,-0.6,-1.1,0.3,-0.1,-0.3,-0.2,-0.4,0.9
2004,-1.1,0.8,0.1,-1.2,1.4,-1.4,-0.7,-0.7,-0.3,-0.4,-1.0,-0.9
2005,0.2,-2.6,0.1,-0.9,-1.3,0.4,0.1,-0.7,0.3,1.1,-0.3,-0.0
2006,1.3,-0.0,1.4,1.5,-0.8,-0.5,-0.9,-1.5,-0.6,-1.5,-0.2,-0.4
2007,-0.7,-0.3,-0.1,-0.1,-0.1,0.6,-0.4,0.3,0.1,0.5,0.9,1.4
2008,1.4,1.9,1.2,0.5,-0.3,0.6,0.3,0.9,1.3,1.3,1.6,1.3
2009,1.0,1.3,0.1,0.9,-0.4,-0.1,0.2,-0.5,0.3,-1.4,-0.7,-0.8
2010,-1.0,-1.3,-1.0,1.5,1.1,0.3,2.1,1.9,2.4,1.8,1.5,2.6
2011,2.0,2.0,2.1,2.3,0.3,0.1,1.1,0.2,1.1,0.7,1.3,2.2
2012,1.0,0.2,0.3,-0.5,-0.1,-1.0,-0.1,-0.5,0.2,0.2,0.3,-0.7
2013,-0.1,-0.3,1.1,0.1,0.9,1.5,0.9,-0.0,0.3,-0.2,0.8,-0.0
2014,1.2,-0.1,-1.2,0.9,0.6,-0.1,-0.3,-1.1,-0.8,-0.8,-1.0,-0.6
2015,-0.7,0.0,-1.0,,,,,,,,,
