,rain,tmax,tmin
1972-01-31,13.50322580645161,16.206451612903223,8.593548387096773
1972-02-29,3.410344827586207,18.40689655172414,9.775862068965518
1972-03-31,27.093548387096774,14.712903225806452,9.59032258064516
1972-04-30,16.316666666666666,12.350000000000003,7.326666666666668
1972-05-31,12.9,8.593548387096773,3.0774193548387094
1972-06-30,7.443333333333333,5.646666666666666,0.5900000000000001
1972-07-31,12.035483870967743,5.570967741935483,1.6290322580645158
1972-08-31,3.9999999999999996,6.674193548387096,0.31612903225806455
1972-09-30,29.329999999999995,8.916666666666666,3.9966666666666666
1972-10-31,16.58064516129032,10.506451612903225,4.9
1972-11-30,12.976666666666667,13.960000000000003,7.016666666666667
1972-12-31,10.425806451612905,14.35806451612903,6.670967741935482
1973-01-31,9.270967741935483,16.95483870967742,8.954838709677421
1973-02-28,13.139285714285716,18.142857142857146,10.310714285714283
1973-03-31,11.390322580645162,15.570967741935481,8.648387096774194
1973-04-30,21.206666666666663,11.71,6.023333333333334
1973-05-31,19.299999999999997,7.800000000000001,4.6741935483870956
1973-06-30,9.580000000000002,5.456666666666667,2.3066666666666666
1973-07-31,1.8258064516129036,5.212903225806451,1.0096774193548383
1973-08-31,6.887096774193547,6.532258064516129,1.3612903225806452
1973-09-30,10.253333333333332,10.129999999999999,3.6666666666666665
1973-10-31,13.63225806451613,11.445161290322579,5.193548387096775
1973-11-30,18.04,12.233333333333336,5.999999999999998
1973-12-31,9.09032258064516,17.84516129032258,9.09677419354839
1974-01-31,3.6967741935483875,16.870967741935488,8.687096774193549
1974-02-28,13.617857142857144,18.017857142857142,11.939285714285715
1974-03-31,8.858064516129033,15.958064516129033,8.24516129032258
1974-04-30,6.480000000000001,13.166666666666668,7.413333333333336
1974-05-31,6.574193548387094,10.219354838709675,5.725806451612904
1974-06-30,15.283333333333335,6.183333333333334,1.5766666666666667
1974-07-31,12.335483870967739,4.67741935483871,1.6419354838709674
1974-08-31,1.6129032258064515,6.345161290322581,0.21290322580645155
1974-09-30,5.8533333333333335,10.17333333333333,4.153333333333332
1974-10-31,6.525806451612904,12.738709677419356,5.890322580645163
1974-11-30,5.3,17.319999999999997,7.5233333333333325
1974-12-31,8.683870967741935,18.006451612903227,10.264516129032259
1975-01-31,7.699999999999999,19.396774193548385,10.725806451612902
1975-02-28,15.803571428571429,16.532142857142855,9.80357142857143
1975-03-31,18.645161290322584,16.448387096774194,10.251612903225807
1975-04-30,26.743333333333336,11.239999999999998,7.656666666666666
1975-05-31,18.577419354838707,7.770967741935484,3.5741935483870972
1975-06-30,7.696666666666667,5.306666666666668,0.36666666666666686
1975-07-31,17.73225806451613,5.135483870967742,0.2870967741935485
1975-08-31,10.748387096774195,7.725806451612904,2.6451612903225805
1975-09-30,12.62,9.793333333333331,3.173333333333334
1975-10-31,13.019354838709678,11.861290322580647,4.596774193548386
1975-11-30,10.47,13.629999999999999,5.503333333333335
1975-12-31,11.409677419354843,13.670967741935483,6.103225806451615
1976-01-31,9.206451612903225,16.919354838709676,9.619354838709679
1976-02-29,5.337931034482759,15.20689655172414,6.955172413793102
1976-03-31,10.967741935483874,15.27096774193548,8.703225806451615
1976-04-30,10.75,12.113333333333337,6.42
1976-05-31,16.04193548387097,9.03225806451613,4.325806451612904
1976-06-30,13.616666666666669,4.246666666666667,1.14
1976-07-31,8.461290322580645,5.751612903225806,1.4709677419354839
1976-08-31,4.680645161290323,6.606451612903228,1.4967741935483871
1976-09-30,1.23,10.776666666666669,2.9166666666666665
1976-10-31,6.654838709677418,11.283870967741937,3.6032258064516127
1976-11-30,4.536666666666666,15.950000000000001,5.673333333333334
1976-12-31,11.27741935483871,16.81612903225807,8.235483870967743
1977-01-31,16.045161290322582,14.851612903225812,7.374193548387098
1977-02-28,10.48214285714286,17.58928571428571,8.59642857142857
1977-03-31,8.96774193548387,15.496774193548388,8.503225806451614
